Date,Open,High,Low,Close,Volume,Adj Close
2015-04-17,62.90,63.71,62.85,62.97,1418500,62.97
2015-04-16,62.02,63.56,61.64,63.50,1599100,63.50
2015-04-15,63.20,63.70,62.01,62.02,1332100,62.02
2015-04-14,63.20,63.53,62.19,62.53,1175400,62.53
2015-04-13,63.76,65.02,63.15,63.33,1233200,63.33
2015-04-10,64.18,64.77,63.87,63.94,804400,63.94
2015-04-09,64.96,65.58,63.67,64.15,1244500,64.15
2015-04-08,63.01,64.98,62.92,64.81,1219000,64.81
2015-04-07,62.13,63.33,62.13,62.76,990900,62.76
2015-04-06,61.95,63.00,61.54,62.40,1728400,62.40
2015-04-02,64.02,64.81,62.99,63.07,1220000,63.07
2015-04-01,65.33,65.59,63.53,64.00,1068600,64.00
2015-03-31,66.13,66.48,65.28,66.18,929000,66.18
2015-03-30,66.21,66.64,65.65,66.20,761200,66.20
2015-03-27,64.93,65.95,64.82,65.59,852400,65.59
2015-03-26,63.92,64.82,62.77,64.61,1622200,64.61
2015-03-25,66.89,66.99,64.36,64.60,1346400,64.60
2015-03-24,67.20,67.22,66.28,66.98,1127400,66.98
2015-03-23,68.68,69.00,67.49,67.49,1173500,67.49
2015-03-20,68.63,68.75,67.63,68.68,1790800,68.68
2015-03-19,68.46,68.93,67.68,68.35,835200,68.35
2015-03-18,68.92,69.42,67.48,67.97,1267600,67.97
2015-03-17,67.51,69.00,67.51,68.80,1473800,68.80
2015-03-16,67.51,67.99,67.16,67.57,1027700,67.57
2015-03-13,67.25,67.86,66.24,66.66,932400,66.66
2015-03-12,65.06,67.28,65.02,67.11,1339600,67.11
2015-03-11,64.01,65.32,63.60,65.08,1109300,65.08
2015-03-10,63.98,64.56,63.40,64.17,1226000,64.17
2015-03-09,63.72,64.49,63.57,63.98,1004200,63.98
2015-03-06,64.33,64.64,63.57,63.73,948700,63.73
2015-03-05,65.75,65.97,64.51,64.64,1118400,64.64
2015-03-04,65.68,66.01,64.85,65.77,1313800,65.77
2015-03-03,65.00,66.20,64.81,66.16,1629000,66.16
2015-03-02,64.40,65.53,64.32,65.44,1850400,65.44
2015-02-27,64.48,64.60,63.59,63.65,1944400,63.65
2015-02-26,64.12,64.20,63.01,63.98,1225400,63.98
2015-02-25,64.24,64.68,63.34,63.44,1216400,63.44
2015-02-24,63.54,64.52,62.40,64.43,1301500,64.43
2015-02-23,65.01,65.04,63.53,64.14,1247900,64.14
2015-02-20,62.76,64.15,62.40,64.14,1049600,64.14
2015-02-19,65.18,65.18,62.77,62.94,2091000,62.74
2015-02-18,63.12,63.88,62.06,63.83,1565000,63.62717
2015-02-17,62.61,63.35,62.11,62.23,1200800,62.03225
2015-02-13,62.16,62.60,61.35,62.56,1697700,62.36121
2015-02-12,63.57,63.59,61.72,62.75,2822200,62.5506
2015-02-11,65.90,66.43,64.39,64.51,1560900,64.30502
2015-02-10,64.19,65.49,63.68,65.37,1965200,65.16228
2015-02-09,65.15,65.15,62.53,63.51,2120500,63.30819
2015-02-06,66.57,66.94,65.67,65.92,1569300,65.71053
2015-02-05,66.80,66.94,65.02,66.82,1354300,66.60767
2015-02-04,65.96,67.20,65.84,66.70,1823000,66.48804
2015-02-03,66.00,66.39,64.09,65.18,2928500,64.97289
2015-02-02,67.70,68.00,65.43,67.32,2284100,67.10608
2015-01-30,70.37,70.87,67.26,67.87,2236800,67.65434
2015-01-29,68.80,71.40,68.42,71.07,1966000,70.84416
2015-01-28,70.50,70.55,68.42,68.70,1220500,68.48169
2015-01-27,69.37,70.78,68.94,69.70,1536800,69.47852
2015-01-26,68.77,70.51,68.65,70.44,2393900,70.21617
2015-01-23,68.10,69.90,67.70,68.65,1883200,68.43185
2015-01-22,66.90,68.00,64.55,67.94,2833200,67.72411
2015-01-21,64.40,65.20,63.77,64.98,2314800,64.77352
2015-01-20,63.40,64.81,63.11,64.60,1521200,64.39472
2015-01-16,61.09,62.42,60.56,62.35,1618600,62.15187
