Date,Open,High,Low,Close,Volume,Adj Close
2015-04-17,41.84,42.40,41.79,41.79,6774100,41.79
2015-04-16,42.11,42.73,41.80,42.25,7062000,42.25
2015-04-15,43.60,43.64,41.85,41.87,8115900,41.87
2015-04-14,42.63,42.84,42.32,42.50,4236100,42.50
2015-04-13,42.52,43.73,42.50,42.76,5134700,42.76
2015-04-10,42.80,43.29,42.70,42.82,4541300,42.82
2015-04-09,42.92,43.21,42.17,42.82,7122700,42.82
2015-04-08,41.49,42.87,41.33,42.85,6562200,42.85
2015-04-07,41.24,41.92,41.23,41.34,7699500,41.34
2015-04-06,41.77,41.90,41.05,41.09,11386600,41.09
2015-04-02,43.62,43.82,42.69,42.86,8655600,42.86
2015-04-01,44.07,44.09,43.23,43.45,6896400,43.45
2015-03-31,44.62,44.62,43.88,44.30,4602700,44.30
2015-03-30,44.65,44.79,44.25,44.58,4336100,44.58
2015-03-27,43.48,44.34,43.32,44.24,5757800,44.24
2015-03-26,42.84,43.50,42.21,43.18,7537500,43.18
2015-03-25,44.84,44.97,43.64,43.72,6751700,43.72
2015-03-24,45.12,45.44,44.75,44.92,4884300,44.92
2015-03-23,46.41,46.41,45.37,45.44,6260400,45.44
2015-03-20,46.27,46.50,46.02,46.36,8847300,46.36
2015-03-19,46.07,46.45,45.93,46.35,5911200,46.35
2015-03-18,46.45,46.45,45.18,45.74,6161300,45.74
2015-03-17,45.72,46.41,45.41,46.21,7802600,46.21
2015-03-16,45.29,45.65,45.02,45.50,6905700,45.50
2015-03-13,45.13,45.64,44.26,44.51,6039200,44.51
2015-03-12,43.91,45.04,43.80,44.97,5761600,44.97
2015-03-11,43.25,44.04,43.19,43.84,6755000,43.84
2015-03-10,43.19,43.32,42.56,42.94,5667600,42.94
2015-03-09,43.30,43.75,43.11,43.40,4026800,43.40
2015-03-06,43.72,44.05,43.25,43.30,5322400,43.30
2015-03-05,44.17,44.28,43.71,44.10,5324600,44.10
2015-03-04,43.79,44.19,43.48,44.01,5909400,44.01
2015-03-03,43.61,44.42,43.51,43.96,6263700,43.96
2015-03-02,43.24,44.28,43.24,44.22,6399900,44.16
2015-02-27,44.16,44.16,43.20,43.24,4792800,43.18133
2015-02-26,44.56,44.63,43.73,44.08,7835500,44.02019
2015-02-25,45.02,45.27,43.98,44.12,7775000,44.06013
2015-02-24,44.38,45.36,44.04,45.35,6998700,45.28847
2015-02-23,45.11,45.49,44.28,44.69,7303100,44.62936
2015-02-20,43.65,44.95,43.40,44.78,7117200,44.71924
2015-02-19,44.92,44.97,43.70,43.76,7535500,43.70062
2015-02-18,42.94,43.68,42.23,43.55,8271400,43.49091
2015-02-17,43.46,43.60,42.55,42.59,8818100,42.53221
2015-02-13,43.11,43.63,42.92,43.30,6395500,43.24125
2015-02-12,43.06,43.52,42.19,43.50,7304400,43.44098
2015-02-11,44.46,44.51,43.21,43.50,5288900,43.44098
2015-02-10,43.72,44.19,43.22,43.78,5881500,43.7206
2015-02-09,43.50,43.69,42.91,43.26,8643100,43.2013
2015-02-06,44.13,44.73,43.72,44.14,8502600,44.08011
2015-02-05,44.31,44.48,43.36,44.47,7951000,44.40966
2015-02-04,43.51,45.07,43.47,44.64,8900500,44.57943
2015-02-03,43.17,43.94,42.54,43.25,12057300,43.19132
2015-02-02,44.94,45.02,42.59,44.53,13259700,44.46958
2015-01-30,46.34,46.78,45.10,45.18,11999300,45.1187
2015-01-29,45.95,47.17,45.50,46.99,8234100,46.92624
2015-01-28,46.62,47.08,45.72,45.80,9339300,45.73786
2015-01-27,45.60,46.41,44.87,45.88,7747000,45.81775
2015-01-26,45.33,46.41,45.21,46.40,8447600,46.33704
2015-01-23,45.45,46.00,44.60,45.78,11929800,45.71788
2015-01-22,43.45,45.70,43.34,45.35,20870700,45.28847
2015-01-21,40.45,41.91,40.17,41.83,10351900,41.77325
2015-01-20,40.24,40.82,39.72,40.79,10067200,40.73466
2015-01-16,38.68,39.57,38.26,39.48,9110100,39.42643
2015-01-15,39.22,39.76,38.75,38.90,7480200,38.84722
2015-01-14,39.72,40.23,38.63,39.44,8540400,39.38649
2015-01-13,40.62,41.76,39.94,40.48,8366400,40.42508
2015-01-12,40.45,40.86,39.72,40.25,7095900,40.19539
2015-01-09,41.88,42.04,40.64,40.79,7170600,40.73466
2015-01-08,41.00,42.09,40.95,41.88,7301900,41.82318
2015-01-07,40.77,41.12,40.38,40.80,7693100,40.74464
2015-01-06,41.90,42.05,39.67,40.46,10576800,40.4051
2015-01-05,42.83,42.90,41.45,41.64,7877700,41.5835
2015-01-02,42.69,43.05,42.20,42.69,6890400,42.63208
2014-12-31,42.50,43.19,42.25,42.32,4912400,42.26258
2014-12-30,41.92,42.43,41.85,42.17,4188000,42.11278
2014-12-29,41.50,42.04,41.21,41.92,4773800,41.86312
2014-12-26,41.71,42.09,41.48,41.91,3209100,41.85313
2014-12-24,41.15,41.92,41.04,41.66,2657400,41.60347
2014-12-23,41.39,41.44,40.57,40.98,4212000,40.9244
2014-12-22,40.22,41.57,40.22,41.26,7304700,41.20401
2014-12-19,40.52,40.91,40.00,40.26,17525300,40.20537
2014-12-18,40.32,40.77,39.74,40.62,8656600,40.56488
2014-12-17,39.58,40.27,38.73,40.12,12614600,40.06556
2014-12-16,41.81,41.85,39.53,39.58,10786800,39.5263
2014-12-15,41.68,42.10,40.72,41.58,10030500,41.52359
2014-12-12,42.44,42.44,41.40,41.41,10002800,41.35381
2014-12-11,42.01,42.42,41.74,41.92,9610800,41.86312
2014-12-10,41.65,42.94,41.36,41.48,14704200,41.42372
2014-12-09,40.86,40.97,39.31,40.73,11479400,40.67474
2014-12-08,41.35,42.43,41.18,42.13,10080800,42.01292
2014-12-05,41.74,41.92,40.99,41.12,8808000,41.00572
2014-12-04,42.15,42.25,41.11,41.39,10850800,41.27497
2014-12-03,40.64,41.16,40.02,41.05,8186200,40.93592
2014-12-02,40.34,41.42,40.27,40.46,8573700,40.34756
2014-12-01,42.24,42.52,40.46,40.50,10629700,40.38745
2014-11-28,41.10,42.42,41.07,41.82,8358400,41.70378
2014-11-26,38.60,39.39,38.60,39.28,4400800,39.17084
2014-11-25,38.50,38.90,38.19,38.51,9538300,38.40298
2014-11-24,38.48,38.78,38.18,38.51,5688000,38.40298
2014-11-21,39.26,39.26,37.77,38.02,10877800,37.91434
2014-11-20,38.98,39.22,38.51,38.87,5846900,38.76198
2014-11-19,39.51,39.78,39.02,39.27,6455300,39.16087
2014-11-18,39.15,39.88,39.06,39.67,5790200,39.55975
2014-11-17,38.93,39.53,38.90,39.07,6281100,38.96142
2014-11-14,39.33,39.45,38.83,38.95,7352600,38.84175
2014-11-13,39.56,39.97,39.19,39.46,6693700,39.35034
2014-11-12,39.08,39.50,38.89,39.37,6452600,39.26059
2014-11-11,39.46,40.06,39.28,39.37,9180900,39.26059
2014-11-10,38.24,39.18,37.97,39.12,9662700,39.01128
2014-11-07,38.01,38.36,37.75,38.24,9598200,38.13373
2014-11-06,36.84,38.16,36.70,37.94,9823400,37.83456
2014-11-05,36.83,36.88,36.16,36.75,9807200,36.64787
2014-11-04,35.51,36.58,35.50,36.43,11373900,36.32876
2014-11-03,34.55,35.32,34.47,35.31,7229100,35.21187
2014-10-31,34.64,34.84,34.28,34.48,6436600,34.38418
2014-10-30,34.35,34.51,33.88,34.13,6727000,34.03515
2014-10-29,34.54,34.57,33.61,34.13,7411900,34.03515
2014-10-28,34.22,34.56,33.72,34.53,8725500,34.43404
2014-10-27,33.85,34.13,33.42,34.05,8823600,33.95537
2014-10-24,33.36,34.25,33.36,33.87,9844200,33.77587
2014-10-23,35.00,35.35,32.41,33.25,23476100,33.1576
2014-10-22,34.93,35.00,34.15,34.20,12749800,34.10496
2014-10-21,33.68,34.75,33.62,34.59,14342900,34.49387
2014-10-20,31.38,33.09,31.38,32.84,13588700,32.74874
2014-10-17,31.32,31.84,30.78,31.05,12181600,30.96371
2014-10-16,28.65,31.28,28.60,30.94,18366600,30.85402
2014-10-15,29.08,30.63,28.40,30.02,21067900,29.93657
2014-10-14,29.37,31.25,28.77,30.00,16869800,29.91663
2014-10-13,30.76,30.76,28.52,28.88,21586500,28.79974
2014-10-10,31.14,31.57,30.30,30.57,11790100,30.48504
2014-10-09,32.29,32.53,31.08,31.32,12496100,31.23296
2014-10-08,32.92,32.96,31.69,32.11,11969600,32.02076
2014-10-07,32.75,32.79,32.22,32.23,7321100,32.14043
2014-10-06,33.50,33.77,32.94,33.04,5758500,32.94818
2014-10-03,32.75,33.53,32.75,33.43,6322700,33.3371
2014-10-02,32.90,33.23,31.58,32.46,10038900,32.36979
2014-10-01,32.97,33.06,32.42,32.55,10966400,32.45954
2014-09-30,33.71,34.28,33.30,33.77,6780500,33.67615
2014-09-29,33.44,33.89,33.35,33.67,4476400,33.57643
2014-09-26,33.79,33.99,33.52,33.91,4758200,33.81576
2014-09-25,34.15,34.19,33.60,33.64,6814400,33.54651
