Date,Open,High,Low,Close,Volume,Adj Close
2015-04-15,1087.00,1087.00,1073.50,1080.00,6299500,1080.00
2015-04-14,1101.00,1110.50,1075.50,1083.50,7352000,1083.50
2015-04-13,1110.00,1118.50,1098.66,1106.00,3327300,1106.00
2015-04-10,1104.00,1117.00,1100.00,1109.00,5108700,1109.00
2015-04-09,1093.50,1108.20,1085.00,1104.00,4873200,1104.00
2015-04-08,1098.50,1113.50,1089.50,1090.00,6430800,1090.00
2015-04-07,1090.00,1101.50,1080.00,1094.50,5096900,1094.50
2015-04-06,1076.50,1076.50,1076.50,1076.50,000,1076.50
2015-04-03,1076.50,1076.50,1076.50,1076.50,000,1076.50
2015-04-02,1084.00,1093.90,1072.00,1076.50,5558800,1076.50
2015-04-01,1091.00,1101.10,1077.00,1082.00,7730500,1082.00
2015-03-31,1115.00,1118.10,1084.50,1093.50,10877500,1093.50
2015-03-30,1116.00,1135.00,1104.50,1120.00,7497700,1120.00
2015-03-27,1102.50,1125.00,1096.50,1103.00,7791700,1103.00
2015-03-26,1100.00,1113.00,1090.00,1100.00,6162600,1100.00
2015-03-25,1122.00,1128.00,1091.50,1103.50,8053100,1103.50
2015-03-24,1124.00,1166.00,1120.00,1120.00,9641300,1120.00
2015-03-23,1075.50,1164.50,1048.95,1141.00,20066100,1141.00
2015-03-20,1048.00,1071.50,1040.00,1071.50,21352300,1071.50
2015-03-19,1041.00,1059.00,1035.00,1050.50,9810500,1050.50
2015-03-18,1005.00,1048.50,991.04,1043.00,19186900,1043.00
2015-03-17,967.10,967.23,956.60,965.00,7438500,965.00
2015-03-16,958.00,964.12,942.40,956.30,7213000,956.30
2015-03-13,981.60,984.10,952.90,955.20,9758600,955.20
2015-03-12,992.80,1002.00,976.40,979.00,8942900,979.00
2015-03-11,1020.00,1030.00,1007.00,1024.50,5312500,967.30
2015-03-10,1049.00,1054.00,1017.50,1018.50,7089800,961.64
2015-03-09,1026.00,1048.18,1025.00,1044.00,7552800,985.71
2015-03-06,1023.00,1034.50,1012.50,1024.00,7391600,966.83
2015-03-05,1015.00,1034.50,1003.50,1014.50,14644300,957.86
2015-03-04,979.60,1046.50,965.10,1024.00,24134000,966.83
2015-03-03,984.00,992.80,961.50,974.20,8788300,919.81
2015-03-02,997.00,1010.50,967.80,980.00,11022700,925.28
2015-02-27,976.30,1027.50,972.43,991.00,16210300,935.67
2015-02-26,959.10,977.60,923.10,976.00,25526200,921.51
2015-02-25,942.10,943.69,923.60,926.30,6597000,874.58
