Date,Open,High,Low,Close,Volume,Adj Close
2015-04-17,52.42,52.92,52.37,52.82,1021100,52.82
2015-04-16,53.39,53.47,52.71,53.20,892300,53.20
2015-04-15,52.76,53.36,52.53,53.36,2464900,53.36
2015-04-14,51.62,52.18,51.52,52.01,800600,52.01
2015-04-13,51.62,51.80,51.09,51.09,768100,51.09
2015-04-10,51.25,51.62,51.15,51.41,708700,51.41
2015-04-09,51.05,51.37,50.91,51.27,1255800,51.27
2015-04-08,51.67,51.73,50.58,50.78,2152700,50.78
2015-04-07,51.47,52.00,51.20,51.20,1029000,51.20
2015-04-06,50.31,51.12,50.31,50.72,694300,50.72
2015-04-02,49.95,50.04,49.62,50.01,2975100,50.01
2015-04-01,50.16,50.35,49.64,49.76,2454500,49.76
2015-03-31,49.70,50.14,49.53,49.66,1508000,49.66
2015-03-30,51.04,51.21,50.67,50.74,903600,50.74
2015-03-27,50.14,50.90,49.86,50.82,2467900,50.82
2015-03-26,50.96,51.14,50.22,50.73,1935300,50.73
2015-03-25,51.38,51.49,50.72,50.94,2344500,50.94
2015-03-24,51.46,51.50,50.87,51.07,753800,51.07
2015-03-23,51.40,51.55,50.98,51.19,1165800,51.19
2015-03-20,50.23,51.36,50.01,50.65,2055900,50.65
2015-03-19,48.69,48.97,48.39,48.78,746300,48.78
2015-03-18,47.96,49.57,47.73,49.33,1440100,49.33
2015-03-17,47.96,48.20,47.79,48.03,1082000,47.341
2015-03-16,46.94,47.48,46.79,47.48,895400,46.79889
2015-03-13,47.34,47.43,46.61,47.16,1560200,46.48348
2015-03-12,48.79,48.86,48.08,48.24,1082500,47.54799
2015-03-11,48.23,48.38,47.65,48.01,2742200,47.32129
2015-03-10,48.98,49.15,48.49,48.49,2280100,47.7944
2015-03-09,50.71,50.90,50.42,50.42,1124400,49.69671
2015-03-06,51.26,51.42,50.75,50.77,1127200,50.04169
2015-03-05,52.72,52.75,52.12,52.17,939500,51.42161
2015-03-04,52.56,52.82,52.18,52.82,786100,52.06229
2015-03-03,52.42,53.20,52.29,53.09,951500,52.32841
2015-03-02,53.42,53.44,52.60,52.85,1263000,52.09185
2015-02-27,53.63,54.24,53.47,53.63,3951800,52.86067
2015-02-26,52.92,53.19,52.78,52.98,1158300,52.21999
2015-02-25,53.25,54.02,52.98,53.92,1403200,53.1465
2015-02-24,53.07,53.75,52.73,53.48,1157300,52.71282
2015-02-23,52.25,52.75,52.00,52.26,1263200,51.51031
2015-02-20,51.89,53.04,51.62,52.88,3832000,52.12143
2015-02-19,52.27,52.57,51.83,52.16,1855000,51.41175
2015-02-18,53.74,54.06,53.33,53.70,1479900,52.92966
2015-02-17,53.83,54.47,53.25,54.40,1123300,53.61962
2015-02-13,54.03,54.46,53.96,54.14,1188600,53.36335
2015-02-12,53.90,54.66,53.75,54.50,2401600,53.71819
2015-02-11,53.06,53.50,52.53,53.32,1067100,52.55511
2015-02-10,53.95,54.12,52.97,53.95,1096900,53.17607
2015-02-09,53.57,54.59,53.57,53.95,2040500,53.17607
2015-02-06,54.30,54.53,53.64,53.67,2534100,52.90009
2015-02-05,54.47,55.24,54.24,54.81,1521100,54.02374
2015-02-04,54.07,54.66,53.70,54.07,1685100,53.29435
2015-02-03,54.98,55.86,54.93,55.46,2259200,54.66441
2015-02-02,53.10,53.93,53.06,53.76,2039500,52.9888
2015-01-30,51.18,52.34,51.09,51.51,1975100,50.77108
2015-01-29,51.04,51.67,50.40,51.67,2184000,50.92878
2015-01-28,52.00,52.00,50.52,50.57,1646400,49.84456
2015-01-27,52.45,53.12,52.26,53.10,1484300,52.33827
2015-01-26,51.90,53.14,51.54,52.72,3108400,51.96372
2015-01-23,51.18,51.99,51.06,51.21,1321700,50.47538
2015-01-22,51.64,52.12,51.24,51.95,2071000,51.20477
2015-01-21,50.61,51.80,50.47,51.64,4070200,50.89921
2015-01-20,50.61,50.67,50.00,50.27,1742400,49.54887
2015-01-16,49.55,50.91,49.54,50.91,3529700,50.17968
2015-01-15,48.68,49.50,48.51,48.95,4339500,48.2478
2015-01-14,48.42,49.04,48.01,48.68,1873100,47.98167
2015-01-13,48.83,49.19,48.00,48.52,1811300,47.82397
2015-01-12,48.54,48.96,47.69,48.45,2390400,47.75497
2015-01-09,49.31,49.40,48.19,48.64,2510300,47.94225
2015-01-08,49.34,50.22,49.03,49.63,2050500,48.91805
2015-01-07,48.28,48.79,47.84,48.33,2372100,47.6367
2015-01-06,47.97,48.86,47.31,47.66,4408500,46.97631
